,p_grid,simulated_readings,t_grid,correction_factor
0,950,0.122669877,273,0.992315716
1,950,0.123657734,275,1.000306807
2,950,0.124630093,277,1.008172526
3,950,0.12558685,279,1.015912038
4,950,0.126528034,281,1.023525576
5,950,0.127453573,283,1.031012554
6,950,0.128363537,285,1.038373542
7,950,0.129257915,287,1.045608454
8,950,0.130136702,289,1.052717243
9,950,0.130999947,291,1.059700302
10,950,0.131847723,293,1.066558236
11,950,0.13267992,295,1.073290144
12,950,0.133496669,297,1.079897082
13,950,0.134298023,299,1.086379488
14,950,0.135083915,301,1.092736819
15,950,0.135854561,303,1.098970823
16,950,0.136609881,305,1.105080846
17,950,0.13734998,307,1.111067745
18,950,0.138074926,309,1.116932062
19,950,0.138784671,311,1.122673415
20,952.5,0.122256302,273,0.988970175
21,952.5,0.123242663,275,0.996949162
22,952.5,0.12421356,277,1.004803053
23,952.5,0.125168898,279,1.012531092
24,952.5,0.126108724,281,1.020133638
25,952.5,0.127032996,283,1.027610372
26,952.5,0.127941749,285,1.034961567
27,952.5,0.128834956,287,1.042186999
28,952.5,0.129712665,289,1.049287072
29,952.5,0.130574864,291,1.056261674
30,952.5,0.131421623,293,1.063111372
31,952.5,0.132252857,295,1.069835495
32,952.5,0.133068783,297,1.076435773
33,952.5,0.133869301,299,1.082911422
34,952.5,0.134654465,301,1.089262865
35,952.5,0.135424359,303,1.09549078
36,952.5,0.136179011,305,1.101595404
37,952.5,0.13691849,307,1.107577281
38,952.5,0.13764289,309,1.113437183
39,952.5,0.138352133,311,1.119174476
40,955,0.121844339,273,0.985637676
41,955,0.122829184,275,0.993604402
42,955,0.12379861,277,1.001446394
43,955,0.124752566,279,1.00916325
44,955,0.125691032,281,1.0167548
45,955,0.126614003,283,1.024221004
46,955,0.127521552,285,1.03156246
47,955,0.128413586,287,1.038778404
48,955,0.129290179,289,1.045869444
49,955,0.130151368,291,1.052835877
50,955,0.130997113,293,1.059677375
51,955,0.131827432,295,1.06639409
52,955,0.132642451,297,1.072987038
53,955,0.133442135,299,1.079455937
54,955,0.134226532,301,1.085801175
55,955,0.134995735,303,1.092023504
56,955,0.135749714,305,1.098122683
57,955,0.136488561,307,1.104099452
58,955,0.137212347,309,1.109954382
59,955,0.137921087,311,1.115687612
60,957.5,0.121434027,273,0.982318532
61,957.5,0.122417302,275,0.990272554
62,957.5,0.123385263,277,0.998102697
63,957.5,0.124337822,279,1.005808251
64,957.5,0.125274936,281,1.013388864
65,957.5,0.126196659,283,1.020844975
66,957.5,0.127102939,285,1.02817616
67,957.5,0.127993844,287,1.035382977
68,957.5,0.128869298,289,1.042464808
69,957.5,0.129729435,291,1.049422725
70,957.5,0.130574168,293,1.056256043
71,957.5,0.131403598,295,1.062965565
72,957.5,0.13221769,297,1.069551011
73,957.5,0.13301654,299,1.076013168
74,957.5,0.133800172,301,1.082352213
75,957.5,0.134568629,303,1.088568507
76,957.5,0.135321957,305,1.094662418
77,957.5,0.136060194,307,1.100634251
78,957.5,0.136783393,309,1.106484438
79,957.5,0.13749162,311,1.112213514
80,960,0.121025275,273,0.979012002
81,960,0.122007048,275,0.986953877
82,960,0.122973528,277,0.994772045
83,960,0.123924673,279,1.002466161
84,960,0.124860414,281,1.010035666
85,960,0.125780848,283,1.017481349
86,960,0.126685932,285,1.024802862
87,960,0.127575637,287,1.031999972
88,960,0.128450054,289,1.039073405
89,960,0.129309058,291,1.046022165
90,960,0.13015284,293,1.052847789
91,960,0.130981281,295,1.059549308
92,960,0.131794524,297,1.066127893
93,960,0.132592531,299,1.072583219
94,960,0.133375404,301,1.078916134
95,960,0.134143129,303,1.085126501
96,960,0.134895713,305,1.091214394
97,960,0.13563333,307,1.097181217
98,960,0.136355986,309,1.103027012
99,960,0.137063636,311,1.108751417
100,962.5,0.120618144,273,0.975718589
101,962.5,0.12159838,275,0.983648031
102,962.5,0.122563348,277,0.991453966
103,962.5,0.123513064,279,0.999136523
104,962.5,0.124447481,281,1.006695318
105,962.5,0.125366625,283,1.014130566
106,962.5,0.126270476,285,1.021442106
107,962.5,0.127159051,287,1.028630068
108,962.5,0.128032269,289,1.035693809
109,962.5,0.128890265,291,1.04263441
110,962.5,0.129733012,293,1.049451666
111,962.5,0.130560548,295,1.056145863
112,962.5,0.131372856,297,1.062716882
113,962.5,0.13217005,299,1.06916564
114,962.5,0.132952114,301,1.075492003
115,962.5,0.133719105,303,1.081696436
116,962.5,0.134471068,305,1.087779305
117,962.5,0.135208046,307,1.093740958
118,962.5,0.135930086,309,1.09958177
119,962.5,0.136637233,311,1.105302107
120,965,0.120212561,273,0.972437702
121,965,0.121191256,275,0.98035468
122,965,0.122154757,277,0.98814874
123,965,0.123103068,279,0.995819936
124,965,0.12403612,281,1.003367684
125,965,0.124953996,283,1.010792682
126,965,0.125856625,285,1.018094334
127,965,0.126743972,287,1.025272369
128,965,0.127616127,289,1.032327506
129,965,0.128473059,291,1.039259505
130,965,0.129314791,293,1.046068542
131,965,0.130141357,295,1.052754898
132,965,0.130952804,297,1.059318952
133,965,0.131749159,299,1.065760922
134,965,0.132530416,301,1.072080753
135,965,0.13329665,303,1.078279064
136,965,0.134047918,305,1.084356314
137,965,0.134784245,307,1.090312693
138,965,0.135505707,309,1.09614883
139,965,0.136212354,311,1.101865121
140,967.5,0.119808536,273,0.969169413
141,967.5,0.120785711,275,0.977074095
142,967.5,0.121747766,277,0.98485646
143,967.5,0.122694613,279,0.992515814
144,967.5,0.123626378,281,1.000053155
145,967.5,0.124542962,283,1.007467692
146,967.5,0.125444322,285,1.01475908
147,967.5,0.126330507,287,1.02192772
148,967.5,0.127201514,289,1.02897357
149,967.5,0.128057376,291,1.035896906
150,967.5,0.128898115,293,1.042697911
151,967.5,0.129723727,295,1.049376552
152,967.5,0.130534261,297,1.055933221
153,967.5,0.131329745,299,1.062368142
154,967.5,0.132110253,301,1.068681923
155,967.5,0.132875735,303,1.074874147
156,967.5,0.133626315,305,1.080945828
157,967.5,0.134362031,307,1.086897273
158,967.5,0.135082894,309,1.092728562
159,967.5,0.135788967,311,1.098440209
160,970,0.119406146,273,0.96591435
161,970,0.120381762,275,0.97380642
162,970,0.12134234,277,0.981576841
163,970,0.1222878,279,0.989224969
164,970,0.123218157,281,0.996750922
165,970,0.124133422,283,1.004154792
166,970,0.12503357,285,1.011436375
167,970,0.12591857,287,1.018595425
168,970,0.126788485,289,1.025632448
169,970,0.127643246,291,1.032546882
170,970,0.128482983,293,1.03933978
171,970,0.129307672,295,1.046010954
172,970,0.130117284,297,1.052560165
173,970,0.130911914,299,1.058988176
174,970,0.131691605,301,1.065295345
175,970,0.132456352,303,1.071481631
176,970,0.133206214,305,1.077547499
177,970,0.133941287,307,1.083493738
178,970,0.134661586,309,1.089320467
179,970,0.135367089,311,1.09502751
180,972.5,0.119005248,273,0.96267136
181,972.5,0.119979373,275,0.970551368
182,972.5,0.120938472,277,0.978309826
183,972.5,0.121882519,279,0.985946521
184,972.5,0.122811512,281,0.993461444
185,972.5,0.123725475,283,1.00085478
186,972.5,0.124624347,285,1.008126042
187,972.5,0.125508176,287,1.015275619
188,972.5,0.126376956,289,1.022303454
189,972.5,0.127230672,291,1.029209439
190,972.5,0.128069398,293,1.035994158
191,972.5,0.128893129,295,1.042657583
192,972.5,0.129701828,297,1.049199407
193,972.5,0.130495606,299,1.055620531
194,972.5,0.131274463,301,1.061920948
195,972.5,0.132038467,303,1.068101222
196,972.5,0.132787647,305,1.074161581
197,972.5,0.133522065,307,1.080102521
198,972.5,0.134241723,309,1.085924058
199,972.5,0.134946702,311,1.091626858
200,975,0.118605942,273,0.95944125
201,975,0.119578536,275,0.967308872
202,975,0.120536104,277,0.975054947
203,975,0.121478773,279,0.982680494
204,975,0.122406437,281,0.990184664
205,975,0.123319068,283,0.997567229
206,975,0.124216721,285,1.004828625
207,975,0.125099357,287,1.011968547
208,975,0.125966982,289,1.018987044
209,975,0.126819655,291,1.025884586
210,975,0.127657349,293,1.032660966
211,975,0.128480061,295,1.039316146
212,975,0.129287874,297,1.045850798
213,975,0.130080797,299,1.052265007
214,975,0.130858859,301,1.058559
215,975,0.131622102,303,1.064733116
216,975,0.132370561,305,1.070787638
217,975,0.133104342,307,1.076723425
218,975,0.133823464,309,1.082540628
219,975,0.134527871,311,1.088238801
220,977.5,0.118208204,273,0.956223818
221,977.5,0.119179239,275,0.964078831
222,977.5,0.120135344,277,0.971813066
223,977.5,0.121076559,279,0.979426858
224,977.5,0.122002858,281,0.98691998
225,977.5,0.122914219,283,0.994292274
226,977.5,0.123810591,285,1.001543309
227,977.5,0.12469204,287,1.008673632
228,977.5,0.125558568,289,1.015683255
229,977.5,0.126410135,291,1.02257185
230,977.5,0.127246808,293,1.029339964
231,977.5,0.128068577,295,1.035987515
232,977.5,0.128875487,297,1.042514872
233,977.5,0.129667533,299,1.048921985
234,977.5,0.13044479,301,1.055209465
235,977.5,0.131207282,303,1.061377502
236,977.5,0.131955054,305,1.067426469
237,977.5,0.132688151,307,1.073356721
238,977.5,0.133406627,309,1.079168708
239,977.5,0.134110475,311,1.084862358
240,980,0.117812014,273,0.953018914
241,980,0.118781498,275,0.960861377
242,980,0.119736093,277,0.968583404
243,980,0.120675898,279,0.97618578
244,980,0.121600858,281,0.983668082
245,980,0.122510872,283,0.991029469
246,980,0.12340601,285,0.998270532
247,980,0.124286269,287,1.005391225
248,980,0.125151653,289,1.012391592
249,980,0.126002167,291,1.019271672
250,980,0.126837793,293,1.02603131
251,980,0.127658608,295,1.032671147
252,980,0.12846458,297,1.039190911
253,980,0.129255758,299,1.045590999
254,980,0.130032219,301,1.051872044
255,980,0.130793945,303,1.058033885
256,980,0.131541001,305,1.064077063
257,980,0.132273443,307,1.070002018
258,980,0.13299132,309,1.075809152
259,980,0.133694597,311,1.081498185
260,982.5,0.117417344,273,0.949826304
261,982.5,0.118385266,275,0.957656129
262,982.5,0.119338425,277,0.965366533
263,982.5,0.120276775,279,0.972957148
264,982.5,0.121200315,281,0.98042796
265,982.5,0.122109051,283,0.987779013
266,982.5,0.123002955,285,0.995010091
267,982.5,0.123882027,287,1.00212118
268,982.5,0.124746288,289,1.009112463
269,982.5,0.125595742,291,1.01598397
270,982.5,0.126430325,293,1.022735175
271,982.5,0.127250128,295,1.02936682
272,982.5,0.128055196,297,1.035879277
273,982.5,0.128845525,299,1.042272498
274,982.5,0.129621118,301,1.048546516
275,982.5,0.130382107,303,1.054702396
276,982.5,0.131128456,305,1.06073985
277,982.5,0.131860202,307,1.066659178
278,982.5,0.132577418,309,1.072460967
279,982.5,0.13328019,311,1.078145919
280,985,0.117024208,273,0.9466461
281,985,0.117990573,275,0.954463334
282,985,0.118942226,277,0.962161559
283,985,0.119879175,279,0.969740835
284,985,0.120801362,281,0.977200702
285,985,0.121708776,283,0.98454106
286,985,0.122601435,285,0.991762064
287,985,0.123479305,287,0.998863431
288,985,0.124342433,289,1.005845554
289,985,0.125190762,291,1.012707958
290,985,0.126024332,293,1.01945097
291,985,0.126843161,295,1.026074738
292,985,0.127647337,297,1.032579976
293,985,0.128436735,299,1.038965666
294,985,0.129211576,301,1.045233602
295,985,0.129971729,303,1.051382719
296,985,0.130717382,305,1.057414545
297,985,0.13144846,307,1.063328472
298,985,0.132165078,309,1.069125416
299,985,0.132867212,311,1.074805207
300,987.5,0.116632606,273,0.943478304
301,987.5,0.117597421,275,0.951283
302,987.5,0.11854756,277,0.958968981
303,987.5,0.119483091,279,0.966536787
304,987.5,0.120403937,281,0.973985806
305,987.5,0.121310043,283,0.981315583
306,987.5,0.122201454,285,0.988526492
